Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default
55,112656,92393,581,113,2,23.54,36,0.15,0
56,91569,131575,641,54,1,15.19,12,0.43,0
26,78169,75417,569,105,3,18.02,12,0.29,0
26,63033,10804,326,118,1,14.71,24,0.41,0
24,29665,21182,662,102,3,15.02,60,0.69,0
41,98511,187008,731,20,4,14.88,36,0.46,0
66,49411,159105,371,86,4,13.35,60,0.12,0
34,117617,173967,518,86,4,2.21,12,0.39,0
67,94473,41189,542,15,2,10.17,36,0.33,0
41,95332,151275,363,39,3,12.88,36,0.66,0
37,90591,178121,755,57,3,21.02,12,0.49,0
48,131410,109990,467,55,4,24.69,12,0.89,0
23,52502,166291,305,69,3,13.06,60,0.77,0
21,86823,124620,477,89,3,5.13,12,0.23,0
19,127782,222878,813,50,1,6.87,24,0.21,0
53,72669,112337,634,84,2,11.85,24,0.68,0
56,133028,155502,467,89,1,12.27,60,0.12,0
27,143167,185872,582,6,4,18.21,60,0.15,0
61,33989,116838,820,117,3,4.38,24,0.3,0
49,146315,134959,763,77,1,21.6,36,0.53,1
42,101292,194017,574,7,3,15.25,48,0.49,0
42,146855,169392,348,5,2,19.07,48,0.47,0
22,91391,249316,810,88,4,20.1,24,0.1,1
46,93632,189310,705,57,1,9.59,60,0.84,0
52,92773,132178,356,63,4,21.33,12,0.72,0
23,41677,6855,845,58,4,18.95,48,0.16,0
64,96991,245069,301,1,3,2.4,36,0.27,0
36,43702,105519,383,93,2,15.45,60,0.17,0
19,138815,147622,471,8,2,7.2,24,0.71,0
59,130006,241986,505,107,1,21.83,36,0.46,0
38,64603,146536,568,61,4,15.74,36,0.57,0
43,117901,12250,574,49,4,2.63,24,0.41,0
25,96657,45630,466,14,1,21.13,36,0.7,0
62,61310,247576,350,110,4,9.85,60,0.24,0
40,138821,185263,762,61,4,11.57,48,0.42,0
41,43171,88784,370,101,2,8.46,60,0.32,0
30,98485,175528,592,114,1,6.59,36,0.33,0
33,53407,167934,492,11,2,2.58,60,0.54,0
50,33717,67810,522,67,3,13.96,60,0.24,0
67,45858,203775,606,95,2,15.03,48,0.49,0
37,67353,51144,502,36,3,19.36,60,0.2,0
65,111594,202913,817,46,1,21.81,24,0.48,0
54,101925,89235,363,85,1,9.2,12,0.32,0
30,64349,160790,531,82,2,2.92,36,0.41,0
33,124899,14410,811,104,4,8.24,60,0.47,0
